,enhancer / silencer,log(Max enhancer / Max silencer),-log10(pvalue),pvalue,mark,sign
117,1.112244316231683,0.10637988053737941,-0.0,0.011581135220915842,FOXP4,False
72,1.1531930775212857,0.14253468392094842,1.1734586097905155,0.0001280000393695366,DIDO1,False
97,1.0150977599600175,0.01498492308728088,-0.0,0.7789033051629367,ESRRB,False
186,1.2696987473662673,0.23877966553430285,0.6353820786387397,0.00044186198006358773,LEF1,False
96,1.78658829351563,0.5803078198828686,0.5787031739389209,0.0005034606579990374,ESRRA,False
95,1.1490268145038693,0.13891533584745916,0.5500923525698154,0.0005377449745873911,ERF,False
19,1.2191049236516671,0.19811692034027548,1.2714064601267987,0.00010215561739881388,BCL6,False
91,1.1663468323170165,0.15387649851472573,-0.0,0.5085855449208201,ELK1,False
192,0.9757433926085518,-0.024555644547156603,-0.0,0.8067155526829823,MBD1,False
13,1.1022761197081363,0.09737724169380112,-0.0,0.11445536088889989,ATF2,False
12,1.2330744487403944,0.2095106025219245,-0.0,0.013599515450300003,ATF1,False
11,1.0170275279310985,0.01688418447895512,-0.0,0.2033919767810186,ASH1L,False
184,1.1122596790607975,0.10639369290107682,-0.0,0.012725609099726995,LARP7,False
80,1.1644500095382069,0.15224888072883105,1.1257999008231485,0.00014284623961422524,E2F4,False
89,1.191525609279338,0.1752345106360789,0.8783703460017365,0.0002525215038399113,ELF2,False
8,1.1097685259953851,0.10415145843847459,-0.0,0.010955282104244441,ARID3B,False
81,1.1838374260481639,0.1687612179531164,0.6829896106418817,0.00039598533490851245,E2F5,False
6,1.0690100120718256,0.0667329978286333,-0.0,0.04401867297526014,ARID2,False
87,1.1129374608326943,0.1070028809866684,-0.0,0.010621526507547384,EHMT2,False
4,0.9730494714030241,-0.02732035389232944,-0.0,0.35928302862274164,ARHGAP35,False
3,0.8630154636236069,-0.14732266960778617,-0.0,0.23896119777701852,AGO1,False
86,1.7772778357077461,0.5750828879401372,0.998772019611905,0.00019138006308540094,EGR1,False
197,0.9585786347268626,-0.04230368050116649,-0.0,0.025898734325650548,MCM7,False
84,1.186386707664937,0.17091230785513326,0.5581446836618711,0.000527866412628606,E2F8,False
9,1.1439023355297864,0.13444551827289494,-0.0,0.00204224447082702,ARID4B,False
22,0.8861818849122223,-0.12083306173438312,-0.0,0.005312284747781015,BDP1,False
20,1.0596141340814704,0.05790481739954834,-0.0,0.5045814649972669,BCLAF1,False
31,1.0628477755793313,0.060951886451833595,-0.0,0.2270600220503629,CAMTA2,False
99,1.0303088698642102,0.02985863094299969,-0.0,0.36960802363140277,ETS2,False
174,1.0795180370713866,0.0765146795606824,-0.0,0.1550161486834428,KDM2B,False
175,1.079562622013448,0.07655597949255862,-0.0,0.4256349753917361,KDM4B,False
181,2.136106554549875,0.7589848049426217,-0.0,0.002648091571525491,KLF16,False
75,1.0706977648055025,0.06831055257880851,-0.0,0.0527494495972619,DMTF1,False
98,1.1519503222340457,0.14145643828314935,-0.0,0.5653208461031609,ETS1,False
170,1.1009025015927059,0.0961302994076582,-0.0,0.38086316689126565,KAT2B,False
73,0.9619721698870889,-0.03876975816619516,-0.0,0.018060560463233268,DLX4,False
172,1.0120582769335305,0.011986155109967436,-0.0,0.4744348029034302,KAT8,False
32,5.523269370570182,1.708969962239249,0.7843577730202304,0.00031355298529987276,CBFA2T2,False
29,0.8923430498704457,-0.1139046352794518,0.27807398852925946,0.0010059924572884342,BRF2,False
166,1.212328096755231,0.19254255790637784,0.15754616725324516,0.0013277690641905141,IRF9,False
165,1.2806712469194717,0.24738435213162413,-0.0,0.45017308700852576,IRF2,False
24,1.0488146544818422,0.047660625987816806,-0.0,0.6149623037957248,BMI1,False
179,0.9935367249760028,-0.0064842524233349385,-0.0,0.4201319835707916,KLF10,False
178,1.173501040831139,0.15999162325455468,-0.0,0.05448618435849153,KLF1,False
76,1.0502929793346443,0.0490691531861333,-0.0,0.13154331679266326,DNMT1,False
177,1.1859601233920887,0.17055267723800638,-0.0,0.03227012309906089,KHSRP,False
70,1.1864079679698047,0.17093022790956242,2.607066561005592,4.716307923131557e-06,DDX20,True
429,2.0447236531748683,0.7152626474416643,6.475803306856771,6.380657101951533e-10,ZMIZ1,True
428,1.1559963545422487,0.14496261673504793,1.8179973599421413,2.9018259028720676e-05,ZKSCAN8,True
414,1.6479883135270963,0.4995553401557629,7.8889380435457275,2.4645104811172918e-11,ZBTB9,True
74,1.910550845802453,0.6473916014226732,9.47353180368239,6.414117468139744e-13,DMBX1,True
426,1.5363868783039833,0.42943347690639855,1.9747379056658254,2.022696892965e-05,ZKSCAN1,True
394,0.7792706288611285,-0.24939688797269843,3.7413146259852157,3.4622154258063417e-07,XRCC4,True
82,1.8115242421780149,0.5941686136415996,1.6638293529019086,4.138465700370051e-05,E2F6,True
393,0.6746034303179973,-0.3936302714016139,1.9417966947814187,2.1820867803227615e-05,XRCC3,True
404,1.3465986236602898,0.2975818750434846,2.881972699103242,2.5043557060287764e-06,ZBTB2,True
398,1.4639223143337974,0.3811193501515304,1.464389486178499,6.550572035103325e-05,YY1,True
424,1.509100047536337,0.4115134781421598,1.6916140076295987,3.8819926196826925e-05,ZFX,True
423,1.202465687723273,0.18437418847281312,2.294065867417606,9.696228592236159e-06,ZFPM2,True
79,1.2377363477270278,0.2132841852870549,2.384362950824306,7.876000992462786e-06,E2F3,True
78,1.371301273241993,0.31576012351590627,9.092225388308211,1.5432750132838189e-12,E2F1,True
66,1.3617988578533646,0.30880651536272397,6.218546086005334,1.153778991861277e-09,CUX1,True
77,2.6693823099070464,0.9818471010437648,9.018832966934644,1.827408943606488e-12,DPF2,True
67,2.2543503264187374,0.8128618278611228,8.116873011103078,1.4581281754034807e-11,CXXC5,True
402,1.4569632061894986,0.3763542737641394,3.4229064569276044,7.207128345275548e-07,ZBTB12,True
419,1.1172272277909816,0.11084992624820843,2.894982090915758,2.4304496141002068e-06,ZFP1,True
412,1.742966140326708,0.5555883402601003,2.163302387860247,1.3102866770622777e-05,ZBTB7A,True
416,0.8516455671001298,-0.1605848397614511,1.4426285240853725,6.887160260974765e-05,ZC3H4,True
418,1.4023282580617193,0.33813389677165173,1.764200398206276,3.284492804768247e-05,ZEB2,True
403,1.6453805557751209,0.49797169835888627,9.661137070152883,4.1642006044603187e-13,ZBTB17,True
405,1.252638134923989,0.22525183526014084,3.252026035259842,1.0681756601672706e-06,ZBTB26,True
408,1.842201420300295,0.6109612805522107,2.4551887508930235,6.690829485715144e-06,ZBTB40,True
201,1.339025945617364,0.2919424433826688,1.8386846470626697,2.7668401295746616e-05,MEF2D,True
454,1.4152611504931167,0.3473140727187274,4.845788798367173,2.7219485668921042e-08,ZNF257,True
61,1.7844818805145268,0.5791281100800675,6.871689220494911,2.5643629438901884e-10,CREM,True
27,1.2295995757067943,0.2066885681761472,6.440695582370806,6.917881693698087e-10,BRD9,True
26,1.5686194744536541,0.4501959169008315,7.177784530521697,1.2673138539598157e-10,BRD4,True
25,0.8693563894763182,-0.14000212331852646,2.522750348193441,5.7268837152230505e-06,BRCA1,True
489,1.1458402760403854,0.1361382333960147,1.8737610025339184,2.5521588998636114e-05,ZNF561,True
23,2.516806700657485,0.9229909156901873,6.5399546875999155,5.504451194935905e-10,BHLHE40,True
491,1.3831982270871215,0.32439837363881274,5.013614953693506,1.8494975456305188e-08,ZNF583,True
493,1.1871013577194167,0.1715145018046196,3.377404551418175,8.003209058270047e-07,ZNF586,True
494,1.4926525148675605,0.40055474857978496,4.105178389850478,1.497925876286828e-07,ZNF589,True
495,1.797897677849971,0.5866180255590734,5.7478014341772266,3.4108865839613577e-09,ZNF592,True
21,1.1857428200259232,0.17036943053978343,2.3632894558204036,8.267596204226797e-06,BCOR,True
18,1.934111162367242,0.6596478733354829,7.063124456938891,1.6502291566878134e-10,BACH1,True
17,1.6063232180887559,0.47394785186842636,2.775397900146481,3.2008904657387315e-06,ATF7,True
501,1.2391565030928264,0.21443090870785278,3.5220794101065063,5.735737969946011e-07,ZNF695,True
16,1.16663647713152,0.15412480274803822,2.032052142895701,1.772623775881552e-05,ATF6,True
15,2.1676880595893273,0.7736611892718485,5.400922260312613,7.581348359014513e-09,ATF4,True
14,2.173702221037079,0.7764318064733511,3.5692577087791273,5.14530358485714e-07,ATF3,True
10,1.2100212213965358,0.1906378977990992,2.814071395646357,2.9281769482161293e-06,ARNT,True
510,1.3220743706964802,0.2792019960472345,4.364270536351076,8.248940607064166e-08,ZNF76,True
7,2.055180016373472,0.7203634433201135,11.459910945321091,6.618472484850058e-15,ARID3A,True
5,5.482891368784334,1.7016325838572934,9.459690613700033,6.621831101654441e-13,ARID1B,True
517,1.2877068306001074,0.2528629857800046,1.7787374042063828,3.176371632758316e-05,ZNF79,True
518,1.2598088199200121,0.23095997922897937,1.3192146907055735,9.150693780072724e-05,ZNF83,True
2,1.1841277178272611,0.169006400430825,1.6749350114536639,4.033979636460338e-05,AFF4,True
520,1.217063448465729,0.1964409477866877,2.3288660792821223,8.949579571291762e-06,ZNF84,True
